ID,Type,Description,In_sample_length,Trend,Seasonality,sMAPE_ETS,sMAPE_Arima1,sMAPE_Arima2,Model,Compo,MAE_long,sMAPE_short,sMAPE_medium,sMAPE_long,MASE_naive,MASE_snaive,MASE_drift,sMAPE_ETS_cv,sMAPE_Arima1_cv,sMAPE_Arima2_cv,Model_cv,Compo_cv,MAE_long_cv,sMAPE_short_cv,sMAPE_medium_cv,sMAPE_long_cv,MASE_naive_cv,MASE_snaive_cv,MASE_drift_cv,MAE_long_ETS,sMAPE_long_ETS,MASE_naive_ETS,MASE_snaive_ETS,MASE_drift_ETS,MAE_long_Arima,sMAPE_long_Arima,MASE_naive_Arima,MASE_snaive_Arima,MASE_drift_Arima
1,MICRO,SHIPMENTS (Code TD-30USA),51,0,0,8.309229573,8.309324699,8.194029223,Arima(transform),0;0;0;0;12;0;0,966.2775284,8.92592961,13.3369823,14.68932511,0.80152053,1.063791774,0.607997886,7.591032483,7.590878907,7.602041096,Arima,0;0;0;0;12;0;0,958.3877996,9.306469246,13.34256558,14.56584705,0.794976055,1.055105834,0.603033537,958.3623493,14.5654495,0.794954944,1.055077816,0.603017523,966.2775284,14.68932511,0.80152053,1.063791774,0.607997886
2,MICRO,SHIPMENTS (Code TD-30USA),51,0,0,7.738084804,7.738912085,7.822725804,ETS,M;N;N;FALSE,412.7785624,7.967851159,10.08474963,8.624754074,1.132624104,1.230134789,1.123173014,8.087804221,8.085497366,8.754137146,Arima,0;1;0;0;12;1;0,371.4365439,7.963231724,8.518767851,7.741483109,1.019185639,1.106930098,1.010681127,412.7785624,8.624754074,1.132624104,1.230134789,1.123173014,371.4365439,7.741483109,1.019185639,1.106930098,1.010681127
3,MICRO,SHIPMENTS (Code TD-30USA),51,1,0,15.46362697,15.46851421,14.72565284,Arima(transform),2;1;0;0;12;1;0,839.6808259,13.70347361,13.03397817,12.64755742,1.261623945,1.207208855,1.162098636,13.48668405,13.4878335,12.99235323,Arima(transform),2;1;0;0;12;1;0,839.6808259,13.70347361,13.03397817,12.64755742,1.261623945,1.207208855,1.162098636,1035.965942,15.3120023,1.556543152,1.489407904,1.43375265,847.7657175,12.75952781,1.273771529,1.218832501,1.173287938
4,MICRO,SHIPMENTS (Code TD-30USA),51,1,0,18.3042964,18.30290138,17.29007,Arima(transform),0;1;0;0;12;1;0,990.2010627,20.86122386,19.13293103,23.96418145,0.389587303,0.958259093,0.39852471,15.82021298,28.89832246,18.619646,ETS,M;N;N;FALSE,1086.74742,22.75448816,21.03402383,25.84554359,0.427572755,1.051691052,0.437381575,1086.74742,25.84554359,0.427572755,1.051691052,0.437381575,990.2010627,23.96418145,0.389587303,0.958259093,0.39852471
5,MICRO,SHIPMENTS (Code TD-30USA),51,0,0,8.300459203,8.299623946,8.712088998,Arima,0;0;0;1;12;0;0,511.2150333,7.293304369,10.01109735,12.75038714,0.566617648,0.944750575,0.543717242,9.047496293,9.047274041,9.135140782,Arima,0;0;0;1;12;0;0,511.2150333,7.293304369,10.01109735,12.75038714,0.566617648,0.944750575,0.543717242,510.3283476,12.74621988,0.565634868,0.943111936,0.542774182,474.3408123,11.90739109,0.525747206,0.876605197,0.504498619
6,MICRO,SHIPMENTS (Code TD-30USA),51,1,0,11.78691249,20.71007255,21.18111106,ETS,A;A;N;FALSE,1110.303491,21.15695993,14.85693607,12.863918,1.02489553,0.552848211,0.60342581,16.55500372,21.82447292,23.05120609,ETS,A;A;N;FALSE,1110.303491,21.15695993,14.85693607,12.863918,1.02489553,0.552848211,0.60342581,1110.303491,12.863918,1.02489553,0.552848211,0.60342581,1350.743786,15.67308309,1.246840418,0.67256952,0.734099884
7,MICRO,SHIPMENTS (Code TD-30USA),51,1,0,10.68951787,15.32966974,15.92451257,ETS,M;A;N;TRUE,617.0175964,9.440466399,9.303344664,8.968906693,0.316239087,0.639028581,0.199610294,13.79780776,15.6954783,16.66929079,ETS,M;A;N;TRUE,617.0175964,9.440466399,9.303344664,8.968906693,0.316239087,0.639028581,0.199610294,617.0175964,8.968906693,0.316239087,0.639028581,0.199610294,957.0869741,13.09531668,0.490534326,0.991229317,0.309625549
8,MICRO,SHIPMENTS (Code TD-30USA),51,1,0,22.98508668,23.39684147,21.57049657,Arima(transform),5;0;0;0;12;1;0,355.2075397,11.20874641,20.21901939,17.41681513,1.074577431,1.014878685,0.459716402,32.13093781,22.64716769,21.9126954,Arima(transform),5;0;0;0;12;1;0,355.2075397,11.20874641,20.21901939,17.41681513,1.074577431,1.014878685,0.459716402,333.7660863,16.19039785,1.00971253,0.953617389,0.431966462,355.2075397,17.41681513,1.074577431,1.014878685,0.459716402
9,MICRO,SHIPMENTS (Code TD-30USA),51,1,0,84.15727648,23.3978662,23.3978662,Arima(transform),0;1;0;0;12;1;0,1134.855859,17.15040983,30.27477037,40.64352808,0.580324019,0.880491615,0.76902305,57.64804766,30.64982014,31.15539831,Arima,0;1;0;0;12;1;0,781.7227401,22.53005089,29.4241401,29.70537359,0.399744583,0.606509022,0.529726133,1163.813317,41.35464595,0.59513181,0.902958608,0.788645764,781.7227401,29.70537359,0.399744583,0.606509022,0.529726133
10,MICRO,SHIPMENTS (Code TD-30USA),51,0,1,7.769315527,9.935334269,9.935334269,ETS,M;N;M;FALSE,574.7277846,5.439124395,6.495220185,8.304883149,0.620135483,0.892742503,0.692178103,8.166351278,10.57405446,10.81707571,ETS,M;N;M;FALSE,574.7277846,5.439124395,6.495220185,8.304883149,0.620135483,0.892742503,0.692178103,574.7277846,8.304883149,0.620135483,0.892742503,0.692178103,537.1249539,7.87556075,0.579561753,0.834332859,0.646890827
11,MICRO,SHIPMENTS (Code TD-30USA),51,1,0,104.995846,30.41798618,29.76570758,Arima(transform),0;1;0;0;12;1;0,580.6994729,24.04353444,21.48892813,30.10817341,0.2707925,0.539906535,0.379829011,90.54362868,28.70604237,28.75788721,Arima,0;1;0;0;12;1;0,576.4607093,25.10450856,22.13292232,29.67730925,0.268815875,0.535965536,0.377056483,1154.142653,48.10986252,0.538201237,1.073066516,0.754911762,580.6994729,30.10817341,0.2707925,0.539906535,0.379829011
