TimeUTC,ActualTotalLoad
 01.01.2022 00:15,7843
 01.01.2022 00:30,7712
 01.01.2022 00:45,7627
 01.01.2022 01:00,7453
 01.01.2022 01:15,7300
 01.01.2022 01:30,7199
 01.01.2022 01:45,7163
 01.01.2022 02:00,7084
 01.01.2022 02:15,7016
 01.01.2022 02:30,7027
 01.01.2022 02:45,7014
 01.01.2022 03:00,6976
 01.01.2022 03:15,6958
 01.01.2022 03:30,6956
 01.01.2022 03:45,6974
 01.01.2022 04:00,6966
 01.01.2022 04:15,7007
 01.01.2022 04:30,6991
 01.01.2022 04:45,7034
 01.01.2022 05:00,7106
 01.01.2022 05:15,7213
 01.01.2022 05:30,7217
 01.01.2022 05:45,7219
 01.01.2022 06:00,7211
 01.01.2022 06:15,7180
 01.01.2022 06:30,7175
 01.01.2022 06:45,7195
 01.01.2022 07:00,7177
 01.01.2022 07:15,7254
 01.01.2022 07:30,7386
 01.01.2022 07:45,7323
 01.01.2022 08:00,7330
 01.01.2022 08:15,7430
 01.01.2022 08:30,7538
 01.01.2022 08:45,7643
 01.01.2022 09:00,7715
 01.01.2022 09:15,7878
 01.01.2022 09:30,7962
 01.01.2022 09:45,7965
 01.01.2022 10:00,7967
 01.01.2022 10:15,7958
 01.01.2022 10:30,8021
 01.01.2022 10:45,8020
 01.01.2022 11:00,8054
 01.01.2022 11:15,7959
 01.01.2022 11:30,7842
 01.01.2022 11:45,7879
 01.01.2022 12:00,7900
 01.01.2022 12:15,7908
 01.01.2022 12:30,7809
 01.01.2022 12:45,7772
 01.01.2022 13:00,7693
 01.01.2022 13:15,7668
 01.01.2022 13:30,7661
 01.01.2022 13:45,7650
 01.01.2022 14:00,7644
 01.01.2022 14:15,7705
 01.01.2022 14:30,7695
 01.01.2022 14:45,7764
 01.01.2022 15:00,7795
 01.01.2022 15:15,7863
 01.01.2022 15:30,7938
 01.01.2022 15:45,8054
 01.01.2022 16:00,8240
 01.01.2022 16:15,8514
 01.01.2022 16:30,8658
 01.01.2022 16:45,8739
 01.01.2022 17:00,8809
 01.01.2022 17:15,8785
 01.01.2022 17:30,8749
 01.01.2022 17:45,8791
 01.01.2022 18:00,8852
 01.01.2022 18:15,8839
 01.01.2022 18:30,8747
 01.01.2022 18:45,8691
 01.01.2022 19:00,8649
 01.01.2022 19:15,8497
 01.01.2022 19:30,8470
 01.01.2022 19:45,8412
 01.01.2022 20:00,8296
 01.01.2022 20:15,8228
 01.01.2022 20:30,8205
 01.01.2022 20:45,8183
 01.01.2022 21:00,8136
 01.01.2022 21:15,8211
 01.01.2022 21:30,8312
 01.01.2022 21:45,8292
 01.01.2022 22:00,8222
 01.01.2022 22:15,8249
 01.01.2022 22:30,8181
 01.01.2022 22:45,8031
 01.01.2022 23:00,7884
 01.01.2022 23:15,7780
 01.01.2022 23:30,7674
 01.01.2022 23:45,7519
 02.01.2022 00:00,7432
 02.01.2022 00:15,7405
 02.01.2022 00:30,7245
 02.01.2022 00:45,7083
 02.01.2022 01:00,6972
 02.01.2022 01:15,6911
 02.01.2022 01:30,6882
 02.01.2022 01:45,6897
 02.01.2022 02:00,6853
 02.01.2022 02:15,6787
 02.01.2022 02:30,6727
 02.01.2022 02:45,6676
 02.01.2022 03:00,6693
 02.01.2022 03:15,6719
 02.01.2022 03:30,6707
 02.01.2022 03:45,6660
 02.01.2022 04:00,6682
 02.01.2022 04:15,6764
 02.01.2022 04:30,6835
 02.01.2022 04:45,6897
 02.01.2022 05:00,6996
 02.01.2022 05:15,7145
 02.01.2022 05:30,7266
 02.01.2022 05:45,7356
 02.01.2022 06:00,7343
 02.01.2022 06:15,7437
 02.01.2022 06:30,7466
 02.01.2022 06:45,7493
 02.01.2022 07:00,7581
 02.01.2022 07:15,7786
 02.01.2022 07:30,7811
 02.01.2022 07:45,7814
 02.01.2022 08:00,7789
 02.01.2022 08:15,8018
 02.01.2022 08:30,8031
 02.01.2022 08:45,8172
 02.01.2022 09:00,8258
 02.01.2022 09:15,8246
 02.01.2022 09:30,8358
 02.01.2022 09:45,8436
 02.01.2022 10:00,8413
 02.01.2022 10:15,8460
 02.01.2022 10:30,8531
 02.01.2022 10:45,8679
 02.01.2022 11:00,8787
 02.01.2022 11:15,8876
 02.01.2022 11:30,8982
 02.01.2022 11:45,8894
 02.01.2022 12:00,8868
 02.01.2022 12:15,8897
 02.01.2022 12:30,8820
 02.01.2022 12:45,8690
 02.01.2022 13:00,8694
 02.01.2022 13:15,8677
 02.01.2022 13:30,8703
 02.01.2022 13:45,8694
 02.01.2022 14:00,8577
 02.01.2022 14:15,8607
 02.01.2022 14:30,8638
 02.01.2022 14:45,8732
 02.01.2022 15:00,8825
 02.01.2022 15:15,8866
 02.01.2022 15:30,8964
 02.01.2022 15:45,8919
 02.01.2022 16:00,9149
 02.01.2022 16:15,9454
 02.01.2022 16:30,9582
 02.01.2022 16:45,9768
 02.01.2022 17:00,9896
 02.01.2022 17:15,9916
 02.01.2022 17:30,9937
 02.01.2022 17:45,9929
 02.01.2022 18:00,9957
 02.01.2022 18:15,9849
 02.01.2022 18:30,9723
 02.01.2022 18:45,9677
 02.01.2022 19:00,9447
 02.01.2022 19:15,9284
 02.01.2022 19:30,9224
 02.01.2022 19:45,9161
 02.01.2022 20:00,9067
 02.01.2022 20:15,8937
 02.01.2022 20:30,8860
 02.01.2022 20:45,8746
 02.01.2022 21:00,8661
 02.01.2022 21:15,8715
 02.01.2022 21:30,8791
 02.01.2022 21:45,8723
 02.01.2022 22:00,8691
 02.01.2022 22:15,8738
 02.01.2022 22:30,8705
 02.01.2022 22:45,8532
 02.01.2022 23:00,8360
 02.01.2022 23:15,8208
 02.01.2022 23:30,8196
 02.01.2022 23:45,8053
 03.01.2022 00:00,7946
 03.01.2022 00:15,8017
 03.01.2022 00:30,7858
 03.01.2022 00:45,7694
 03.01.2022 01:00,7539
 03.01.2022 01:15,7429
 03.01.2022 01:30,7420
 03.01.2022 01:45,7500
 03.01.2022 02:00,7397
 03.01.2022 02:15,7454
 03.01.2022 02:30,7410
 03.01.2022 02:45,7412
 03.01.2022 03:00,7414
 03.01.2022 03:15,7486
 03.01.2022 03:30,7465
