TimeUTC,ActualTotalLoad
 01.01.2021 01:00,9206
 01.01.2021 02:00,9042
 01.01.2021 03:00,9010
 01.01.2021 04:00,9057
 01.01.2021 05:00,9219
 01.01.2021 06:00,9198
 01.01.2021 07:00,9392
 01.01.2021 08:00,9486
 01.01.2021 09:00,9496
 01.01.2021 10:00,9629
 01.01.2021 11:00,9731
 01.01.2021 12:00,9763
 01.01.2021 13:00,9908
 01.01.2021 14:00,10160
 01.01.2021 15:00,10428
 01.01.2021 16:00,10485
 01.01.2021 17:00,10498
 01.01.2021 18:00,10523
 01.01.2021 19:00,10340
 01.01.2021 20:00,10021
 01.01.2021 21:00,10182
 01.01.2021 22:00,10012
 01.01.2021 23:00,9631
 02.01.2021 00:00,9292
 02.01.2021 01:00,9054
 02.01.2021 02:00,8975
 02.01.2021 03:00,8972
 02.01.2021 04:00,9065
 02.01.2021 05:00,9264
 02.01.2021 06:00,9309
 02.01.2021 07:00,9616
 02.01.2021 08:00,9742
 02.01.2021 09:00,9861
 02.01.2021 10:00,9975
 02.01.2021 11:00,10040
 02.01.2021 12:00,10061
 02.01.2021 13:00,10197
 02.01.2021 14:00,10500
 02.01.2021 15:00,10806
 02.01.2021 16:00,10937
 02.01.2021 17:00,11018
 02.01.2021 18:00,10940
 02.01.2021 19:00,10669
 02.01.2021 20:00,10238
 02.01.2021 21:00,10490
 02.01.2021 22:00,10318
 02.01.2021 23:00,9915
 03.01.2021 00:00,9535
 03.01.2021 01:00,9296
 03.01.2021 02:00,9137
 03.01.2021 03:00,9142
 03.01.2021 04:00,9197
 03.01.2021 05:00,9375
 03.01.2021 06:00,9369
 03.01.2021 07:00,9641
 03.01.2021 08:00,9753
 03.01.2021 09:00,9939
 03.01.2021 10:00,10129
 03.01.2021 11:00,10203
 03.01.2021 12:00,10272
 03.01.2021 13:00,10233
 03.01.2021 14:00,10446
 03.01.2021 15:00,10736
 03.01.2021 16:00,10807
 03.01.2021 17:00,10826
 03.01.2021 18:00,10891
 03.01.2021 19:00,10679
 03.01.2021 20:00,10253
 03.01.2021 21:00,10483
 03.01.2021 22:00,10388
 03.01.2021 23:00,10008
 04.01.2021 00:00,9638
 04.01.2021 01:00,9522
 04.01.2021 02:00,9431
 04.01.2021 03:00,9523
 04.01.2021 04:00,9879
 04.01.2021 05:00,10539
 04.01.2021 06:00,10923
 04.01.2021 07:00,11376
 04.01.2021 08:00,11442
 04.01.2021 09:00,11409
 04.01.2021 10:00,11447
 04.01.2021 11:00,11450
 04.01.2021 12:00,11441
 04.01.2021 13:00,11476
 04.01.2021 14:00,11583
 04.01.2021 15:00,11818
 04.01.2021 16:00,11722
 04.01.2021 17:00,11714
 04.01.2021 18:00,11667
 04.01.2021 19:00,11523
 04.01.2021 20:00,11172
 04.01.2021 21:00,11325
 04.01.2021 22:00,11123
 04.01.2021 23:00,10685
 05.01.2021 00:00,10406
 05.01.2021 01:00,10275
 05.01.2021 02:00,10222
 05.01.2021 03:00,10297
 05.01.2021 04:00,10604
 05.01.2021 05:00,11181
 05.01.2021 06:00,11563
 05.01.2021 07:00,11825
 05.01.2021 08:00,11799
 05.01.2021 09:00,11815
 05.01.2021 10:00,11935
 05.01.2021 11:00,11955
 05.01.2021 12:00,11842
 05.01.2021 13:00,11904
 05.01.2021 14:00,12010
 05.01.2021 15:00,12148
 05.01.2021 16:00,12143
 05.01.2021 17:00,12167
 05.01.2021 18:00,12145
 05.01.2021 19:00,11904
 05.01.2021 20:00,11542
 05.01.2021 21:00,11602
 05.01.2021 22:00,11405
