TimeUTC,ActualTotalLoad
 01.01.2022 01:00,51654
 01.01.2022 02:00,50160
 01.01.2022 03:00,47250
 01.01.2022 04:00,45424
 01.01.2022 05:00,45253
 01.01.2022 06:00,45785
 01.01.2022 07:00,46485
 01.01.2022 08:00,47153
 01.01.2022 09:00,47933
 01.01.2022 10:00,48911
 01.01.2022 11:00,49989
 01.01.2022 12:00,51801
 01.01.2022 13:00,50485
 01.01.2022 14:00,47998
 01.01.2022 15:00,46485
 01.01.2022 16:00,46449
 01.01.2022 17:00,49826
 01.01.2022 18:00,53542
 01.01.2022 19:00,54915
 01.01.2022 20:00,53528
 01.01.2022 21:00,51854
 01.01.2022 22:00,52563
 01.01.2022 23:00,53492
 02.01.2022 00:00,53492
 02.01.2022 01:00,49526
 02.01.2022 02:00,48194
 02.01.2022 03:00,45530
 02.01.2022 04:00,44359
 02.01.2022 05:00,44581
 02.01.2022 06:00,45505
 02.01.2022 07:00,46543
 02.01.2022 08:00,47878
 02.01.2022 09:00,49937
 02.01.2022 10:00,51991
 02.01.2022 11:00,53482
 02.01.2022 12:00,56140
 02.01.2022 13:00,54252
 02.01.2022 14:00,51499
 02.01.2022 15:00,49855
 02.01.2022 16:00,49669
 02.01.2022 17:00,52732
 02.01.2022 18:00,56686
 02.01.2022 19:00,57952
 02.01.2022 20:00,55921
 02.01.2022 21:00,53664
 02.01.2022 22:00,53749
 02.01.2022 23:00,54406
 03.01.2022 00:00,54406
 03.01.2022 01:00,50338
 03.01.2022 02:00,49246
 03.01.2022 03:00,47007
 03.01.2022 04:00,46503
 03.01.2022 05:00,48913
 03.01.2022 06:00,54494
 03.01.2022 07:00,59925
 03.01.2022 08:00,62826
 03.01.2022 09:00,63693
 03.01.2022 10:00,63631
 03.01.2022 11:00,63718
 03.01.2022 12:00,64729
 03.01.2022 13:00,63265
 03.01.2022 14:00,61581
 03.01.2022 15:00,59957
 03.01.2022 16:00,59735
 03.01.2022 17:00,62721
 03.01.2022 18:00,66193
 03.01.2022 19:00,66190
 03.01.2022 20:00,62344
 03.01.2022 21:00,58771
 03.01.2022 22:00,58033
 03.01.2022 23:00,58343
 04.01.2022 00:00,55602
 04.01.2022 01:00,53568
 04.01.2022 02:00,52291
 04.01.2022 03:00,50058
 04.01.2022 04:00,49469
 04.01.2022 05:00,51688
 04.01.2022 06:00,56856
 04.01.2022 07:00,62574
 04.01.2022 08:00,65655
 04.01.2022 09:00,66307
 04.01.2022 10:00,66599
 04.01.2022 11:00,67012
 04.01.2022 12:00,68212
 04.01.2022 13:00,66768
 04.01.2022 14:00,64851
 04.01.2022 15:00,63183
 04.01.2022 16:00,62826
 04.01.2022 17:00,65352
 04.01.2022 18:00,68678
 04.01.2022 19:00,68833
 04.01.2022 20:00,64841
 04.01.2022 21:00,61310
 04.01.2022 22:00,61010
 04.01.2022 23:00,61347
 05.01.2022 00:00,61347
 05.01.2022 01:00,57537
 05.01.2022 02:00,56881
 05.01.2022 03:00,55196
 05.01.2022 04:00,55205
 05.01.2022 05:00,57827
 05.01.2022 06:00,63264
 05.01.2022 07:00,68843
 05.01.2022 08:00,72636
 05.01.2022 09:00,73704
 05.01.2022 10:00,73392
 05.01.2022 11:00,73365
 05.01.2022 12:00,73803
 05.01.2022 13:00,71596
 05.01.2022 14:00,69745
 05.01.2022 15:00,68334
 05.01.2022 16:00,68409
 05.01.2022 17:00,72157
 05.01.2022 18:00,76560
 05.01.2022 19:00,76950
 05.01.2022 20:00,72830
 05.01.2022 21:00,68911
 05.01.2022 22:00,68390
 05.01.2022 23:00,68567
 06.01.2022 00:00,66155
 06.01.2022 01:00,64494
 06.01.2022 02:00,63698
 06.01.2022 03:00,61812
 06.01.2022 04:00,61351
 06.01.2022 05:00,64180
 06.01.2022 06:00,69843
 06.01.2022 07:00,76280
 06.01.2022 08:00,79639
 06.01.2022 09:00,79918
 06.01.2022 10:00,78643
 06.01.2022 11:00,77539
 06.01.2022 12:00,77362
 06.01.2022 13:00,74889
 06.01.2022 14:00,72313
 06.01.2022 15:00,70813
 06.01.2022 16:00,70773
 06.01.2022 17:00,74194
 06.01.2022 18:00,78321
 06.01.2022 19:00,78421
 06.01.2022 20:00,74448
 06.01.2022 21:00,70584
 06.01.2022 22:00,69909
 06.01.2022 23:00,69842
 07.01.2022 00:00,69842
 07.01.2022 01:00,65774
 07.01.2022 02:00,64790
 07.01.2022 03:00,62673
 07.01.2022 04:00,61949
 07.01.2022 05:00,64283
 07.01.2022 06:00,69610
 07.01.2022 07:00,75280
 07.01.2022 08:00,78236
 07.01.2022 09:00,78539
 07.01.2022 10:00,77861
 07.01.2022 11:00,77336
 07.01.2022 12:00,76810
 07.01.2022 13:00,74619
 07.01.2022 14:00,72251
 07.01.2022 15:00,70664
 07.01.2022 16:00,70451
 07.01.2022 17:00,73153
 07.01.2022 18:00,75763
 07.01.2022 19:00,75363
 07.01.2022 20:00,71949
 07.01.2022 21:00,68122
 07.01.2022 22:00,67624
 07.01.2022 23:00,67739
 08.01.2022 00:00,67739
 08.01.2022 01:00,62463
