TimeUTC,ActualTotalLoad
 01.01.2020 00:15,43024
 01.01.2020 00:30,42818
 01.01.2020 00:45,42459
 01.01.2020 01:00,42149
 01.01.2020 01:15,41971
 01.01.2020 01:30,41691
 01.01.2020 01:45,41271
 01.01.2020 02:00,41019
 01.01.2020 02:15,40724
 01.01.2020 02:30,40395
 01.01.2020 02:45,40142
 01.01.2020 03:00,39946
 01.01.2020 03:15,40407
 01.01.2020 03:30,40287
 01.01.2020 03:45,40293
 01.01.2020 04:00,40200
 01.01.2020 04:15,40312
 01.01.2020 04:30,40046
 01.01.2020 04:45,40046
 01.01.2020 05:00,39786
 01.01.2020 05:15,39040
 01.01.2020 05:30,38907
 01.01.2020 05:45,38865
 01.01.2020 06:00,39050
 01.01.2020 06:15,39274
 01.01.2020 06:30,39540
 01.01.2020 06:45,39506
 01.01.2020 07:00,39559
 01.01.2020 07:15,39808
 01.01.2020 07:30,40010
 01.01.2020 07:45,40190
 01.01.2020 08:00,40784
 01.01.2020 08:15,41517
 01.01.2020 08:30,42138
 01.01.2020 08:45,42690
 01.01.2020 09:00,43609
 01.01.2020 09:15,44015
 01.01.2020 09:30,44398
 01.01.2020 09:45,44894
 01.01.2020 10:00,45394
 01.01.2020 10:15,46125
 01.01.2020 10:30,46667
 01.01.2020 10:45,47079
 01.01.2020 11:00,47346
 01.01.2020 11:15,48033
 01.01.2020 11:30,48298
 01.01.2020 11:45,48271
 01.01.2020 12:00,48128
 01.01.2020 12:15,48159
 01.01.2020 12:30,47944
 01.01.2020 12:45,47823
 01.01.2020 13:00,47557
 01.01.2020 13:15,46758
 01.01.2020 13:30,46366
 01.01.2020 13:45,45808
 01.01.2020 14:00,45785
 01.01.2020 14:15,46171
 01.01.2020 14:30,46081
 01.01.2020 14:45,46260
 01.01.2020 15:00,46614
 01.01.2020 15:15,47343
 01.01.2020 15:30,48197
 01.01.2020 15:45,49628
 01.01.2020 16:00,50951
 01.01.2020 16:15,52261
 01.01.2020 16:30,52687
 01.01.2020 16:45,53231
 01.01.2020 17:00,53523
 01.01.2020 17:15,53952
 01.01.2020 17:30,53814
 01.01.2020 17:45,53907
 01.01.2020 18:00,53438
 01.01.2020 18:15,53269
 01.01.2020 18:30,52671
 01.01.2020 18:45,52342
 01.01.2020 19:00,51789
 01.01.2020 19:15,51260
 01.01.2020 19:30,50774
 01.01.2020 19:45,50070
 01.01.2020 20:00,49570
 01.01.2020 20:15,49349
 01.01.2020 20:30,48995
 01.01.2020 20:45,49039
 01.01.2020 21:00,48717
 01.01.2020 21:15,49034
 01.01.2020 21:30,48533
 01.01.2020 21:45,47770
 01.01.2020 22:00,47062
 01.01.2020 22:15,46224
 01.01.2020 22:30,45809
 01.01.2020 22:45,44976
 01.01.2020 23:00,44383
 01.01.2020 23:15,44337
 01.01.2020 23:30,44168
 01.01.2020 23:45,43955
 02.01.2020 00:00,43376
 02.01.2020 00:15,42856
 02.01.2020 00:30,42592
 02.01.2020 00:45,42338
 02.01.2020 01:00,42305
 02.01.2020 01:15,42106
 02.01.2020 01:30,41865
 02.01.2020 01:45,41890
 02.01.2020 02:00,41840
 02.01.2020 02:15,42048
 02.01.2020 02:30,41779
 02.01.2020 02:45,41964
 02.01.2020 03:00,42205
 02.01.2020 03:15,42581
 02.01.2020 03:30,42779
 02.01.2020 03:45,43327
 02.01.2020 04:00,43746
 02.01.2020 04:15,44607
 02.01.2020 04:30,44932
 02.01.2020 04:45,45808
 02.01.2020 05:00,46358
 02.01.2020 05:15,47838
 02.01.2020 05:30,49190
 02.01.2020 05:45,50404
 02.01.2020 06:00,51842
 02.01.2020 06:15,53245
 02.01.2020 06:30,54338
 02.01.2020 06:45,55378
 02.01.2020 07:00,56107
 02.01.2020 07:15,57145
