TimeUTC,ActualTotalLoad
 01.01.2021 00:15,13396
 01.01.2021 00:30,13102
 01.01.2021 00:45,12917
 01.01.2021 01:00,12703
 01.01.2021 01:15,12547
 01.01.2021 01:30,12357
 01.01.2021 01:45,12292
 01.01.2021 02:00,12152
 01.01.2021 02:15,12053
 01.01.2021 02:30,11969
 01.01.2021 02:45,12020
 01.01.2021 03:00,11901
 01.01.2021 03:15,12002
 01.01.2021 03:30,11944
 01.01.2021 03:45,11954
 01.01.2021 04:00,11965
 01.01.2021 04:15,12084
 01.01.2021 04:30,12004
 01.01.2021 04:45,12073
 01.01.2021 05:00,12062
 01.01.2021 05:15,11868
 01.01.2021 05:30,11857
 01.01.2021 05:45,11937
 01.01.2021 06:00,12027
 01.01.2021 06:15,12118
 01.01.2021 06:30,12220
 01.01.2021 06:45,12349
 01.01.2021 07:00,12447
 01.01.2021 07:15,12540
 01.01.2021 07:30,12644
 01.01.2021 07:45,12751
 01.01.2021 08:00,12889
 01.01.2021 08:15,13100
 01.01.2021 08:30,13300
 01.01.2021 08:45,13347
 01.01.2021 09:00,13439
 01.01.2021 09:15,13766
 01.01.2021 09:30,13919
 01.01.2021 09:45,14015
 01.01.2021 10:00,14110
 01.01.2021 10:15,14288
 01.01.2021 10:30,14463
 01.01.2021 10:45,14669
 01.01.2021 11:00,14745
 01.01.2021 11:15,14843
 01.01.2021 11:30,14828
 01.01.2021 11:45,14846
 01.01.2021 12:00,14701
 01.01.2021 12:15,14620
 01.01.2021 12:30,14478
 01.01.2021 12:45,14436
 01.01.2021 13:00,14346
 01.01.2021 13:15,14293
 01.01.2021 13:30,14209
 01.01.2021 13:45,14200
 01.01.2021 14:00,14195
 01.01.2021 14:15,14286
 01.01.2021 14:30,14360
 01.01.2021 14:45,14467
 01.01.2021 15:00,14586
 01.01.2021 15:15,14779
 01.01.2021 15:30,15071
 01.01.2021 15:45,15497
 01.01.2021 16:00,15910
 01.01.2021 16:15,16242
 01.01.2021 16:30,16487
 01.01.2021 16:45,16688
 01.01.2021 17:00,16780
 01.01.2021 17:15,16769
 01.01.2021 17:30,16699
 01.01.2021 17:45,16678
 01.01.2021 18:00,16547
 01.01.2021 18:15,16416
 01.01.2021 18:30,16178
 01.01.2021 18:45,16020
 01.01.2021 19:00,15813
 01.01.2021 19:15,15589
 01.01.2021 19:30,15357
 01.01.2021 19:45,15132
 01.01.2021 20:00,14915
 01.01.2021 20:15,14913
 01.01.2021 20:30,14771
 01.01.2021 20:45,14597
 01.01.2021 21:00,14491
 01.01.2021 21:15,14827
 01.01.2021 21:30,14716
 01.01.2021 21:45,14495
 01.01.2021 22:00,14247
 01.01.2021 22:15,14046
 01.01.2021 22:30,13909
 01.01.2021 22:45,13901
