TimeUTC,ActualTotalLoad
 01.01.2021 01:00,4136
 01.01.2021 02:00,3830
 01.01.2021 03:00,3652
 01.01.2021 04:00,3664
 01.01.2021 05:00,3772
 01.01.2021 06:00,3913
 01.01.2021 07:00,4144
 01.01.2021 08:00,4696
 01.01.2021 09:00,5221
 01.01.2021 10:00,5556
 01.01.2021 11:00,5574
 01.01.2021 12:00,5241
 01.01.2021 13:00,4666
 01.01.2021 14:00,4507
 01.01.2021 15:00,4502
 01.01.2021 16:00,4833
 01.01.2021 17:00,5367
 01.01.2021 18:00,5508
 01.01.2021 19:00,5544
 01.01.2021 20:00,5442
 01.01.2021 21:00,5192
 01.01.2021 22:00,4878
 01.01.2021 23:00,4468
 02.01.2021 00:00,4096
 02.01.2021 01:00,3999
 02.01.2021 02:00,3855
 02.01.2021 03:00,3751
 02.01.2021 04:00,3771
 02.01.2021 05:00,3946
 02.01.2021 06:00,4146
 02.01.2021 07:00,4365
 02.01.2021 08:00,4793
 02.01.2021 09:00,5084
 02.01.2021 10:00,5308
 02.01.2021 11:00,5499
 02.01.2021 12:00,5577
 02.01.2021 13:00,5507
 02.01.2021 14:00,5482
 02.01.2021 15:00,5456
 02.01.2021 16:00,5660
 02.01.2021 17:00,6017
 02.01.2021 18:00,5996
 02.01.2021 19:00,5905
 02.01.2021 20:00,5667
 02.01.2021 21:00,5301
 02.01.2021 22:00,4957
 02.01.2021 23:00,4500
 03.01.2021 00:00,4105
 03.01.2021 01:00,3975
 03.01.2021 02:00,3780
 03.01.2021 03:00,3685
 03.01.2021 04:00,3707
 03.01.2021 05:00,3825
 03.01.2021 06:00,3985
 03.01.2021 07:00,4238
 03.01.2021 08:00,4756
 03.01.2021 09:00,5194
 03.01.2021 10:00,5498
 03.01.2021 11:00,5640
 03.01.2021 12:00,5635
 03.01.2021 13:00,5296
 03.01.2021 14:00,5234
 03.01.2021 15:00,5135
 03.01.2021 16:00,5416
 03.01.2021 17:00,5913
 03.01.2021 18:00,5972
 03.01.2021 19:00,5897
 03.01.2021 20:00,5710
 03.01.2021 21:00,5234
 03.01.2021 22:00,4842
 03.01.2021 23:00,4390
 04.01.2021 00:00,3965
 04.01.2021 01:00,3980
 04.01.2021 02:00,3898
 04.01.2021 03:00,3805
 04.01.2021 04:00,3901
 04.01.2021 05:00,4253
 04.01.2021 06:00,4754
 04.01.2021 07:00,5248
 04.01.2021 08:00,5883
 04.01.2021 09:00,6299
 04.01.2021 10:00,6553
 04.01.2021 11:00,6675
 04.01.2021 12:00,6708
 04.01.2021 13:00,6452
 04.01.2021 14:00,6426
 04.01.2021 15:00,6321
 04.01.2021 16:00,6300
 04.01.2021 17:00,6584
 04.01.2021 18:00,6613
 04.01.2021 19:00,6466
 04.01.2021 20:00,6147
 04.01.2021 21:00,5552
 04.01.2021 22:00,5275
 04.01.2021 23:00,4815
 05.01.2021 00:00,4409
 05.01.2021 01:00,4316
 05.01.2021 02:00,4193
 05.01.2021 03:00,4169
 05.01.2021 04:00,4257
 05.01.2021 05:00,4677
 05.01.2021 06:00,5163
 05.01.2021 07:00,5629
 05.01.2021 08:00,6112
 05.01.2021 09:00,6291
 05.01.2021 10:00,6326
 05.01.2021 11:00,6301
 05.01.2021 12:00,6212
 05.01.2021 13:00,6001
 05.01.2021 14:00,6002
 05.01.2021 15:00,5910
 05.01.2021 16:00,6239
 05.01.2021 17:00,6744
 05.01.2021 18:00,6765
 05.01.2021 19:00,6678
 05.01.2021 20:00,6388
 05.01.2021 21:00,5821
 05.01.2021 22:00,5543
 05.01.2021 23:00,5041
 06.01.2021 00:00,4618
 06.01.2021 01:00,4515
 06.01.2021 02:00,4321
 06.01.2021 03:00,4215
 06.01.2021 04:00,4263
 06.01.2021 05:00,4396
 06.01.2021 06:00,4592
 06.01.2021 07:00,4838
 06.01.2021 08:00,5341
 06.01.2021 09:00,5785
 06.01.2021 10:00,6164
 06.01.2021 11:00,6345
 06.01.2021 12:00,6151
 06.01.2021 13:00,5623
 06.01.2021 14:00,5494
 06.01.2021 15:00,5452
 06.01.2021 16:00,5721
 06.01.2021 17:00,6250
 06.01.2021 18:00,6308
 06.01.2021 19:00,6266
 06.01.2021 20:00,6082
 06.01.2021 21:00,5610
 06.01.2021 22:00,5300
 06.01.2021 23:00,4760
 07.01.2021 00:00,4393
 07.01.2021 01:00,4318
 07.01.2021 02:00,4159
 07.01.2021 03:00,4061
 07.01.2021 04:00,4173
 07.01.2021 05:00,4581
 07.01.2021 06:00,5109
 07.01.2021 07:00,5639
 07.01.2021 08:00,6147
 07.01.2021 09:00,6469
 07.01.2021 10:00,6643
 07.01.2021 11:00,6744
 07.01.2021 12:00,6747
 07.01.2021 13:00,6466
 07.01.2021 14:00,6358
 07.01.2021 15:00,6179
 07.01.2021 16:00,6301
 07.01.2021 17:00,6681
 07.01.2021 18:00,6641
 07.01.2021 19:00,6513
 07.01.2021 20:00,6182
 07.01.2021 21:00,5714
 07.01.2021 22:00,5326
 07.01.2021 23:00,4821
 08.01.2021 00:00,4480
 08.01.2021 01:00,4370
 08.01.2021 02:00,4199
 08.01.2021 03:00,4137
 08.01.2021 04:00,4217
 08.01.2021 05:00,4603
 08.01.2021 06:00,5136
 08.01.2021 07:00,5697
 08.01.2021 08:00,6162
 08.01.2021 09:00,6330
 08.01.2021 10:00,6358
 08.01.2021 11:00,6233
 08.01.2021 12:00,6162
 08.01.2021 13:00,5932
 08.01.2021 14:00,5865
 08.01.2021 15:00,5785
 08.01.2021 16:00,5903
 08.01.2021 17:00,6308
 08.01.2021 18:00,6311
 08.01.2021 19:00,6214
 08.01.2021 20:00,5918
 08.01.2021 21:00,5398
 08.01.2021 22:00,5197
 08.01.2021 23:00,4740
 09.01.2021 00:00,4376
 09.01.2021 01:00,4308
 09.01.2021 02:00,4144
 09.01.2021 03:00,4041
 09.01.2021 04:00,4090
 09.01.2021 05:00,4259
 09.01.2021 06:00,4500
 09.01.2021 07:00,4805
 09.01.2021 08:00,5192
 09.01.2021 09:00,5459
 09.01.2021 10:00,5596
 09.01.2021 11:00,5673
 09.01.2021 12:00,5646
 09.01.2021 13:00,5414
 09.01.2021 14:00,5361
 09.01.2021 15:00,5315
 09.01.2021 16:00,5548
 09.01.2021 17:00,6083
 09.01.2021 18:00,6089
 09.01.2021 19:00,5861
 09.01.2021 20:00,5721
 09.01.2021 21:00,5229
 09.01.2021 22:00,4879
 09.01.2021 23:00,4489
 10.01.2021 00:00,4068
 10.01.2021 01:00,4028
 10.01.2021 02:00,3869
 10.01.2021 03:00,3832
 10.01.2021 04:00,3853
 10.01.2021 05:00,4003
 10.01.2021 06:00,4086
 10.01.2021 07:00,4295
 10.01.2021 08:00,4720
 10.01.2021 09:00,5236
 10.01.2021 10:00,5526
 10.01.2021 11:00,5704
 10.01.2021 12:00,5636
 10.01.2021 13:00,5237
 10.01.2021 14:00,5133
 10.01.2021 15:00,5046
 10.01.2021 16:00,5274
 10.01.2021 17:00,5816
