TimeUTC,ActualTotalLoad
 01.01.2021 01:00,20989
 01.01.2021 02:00,19330
 01.01.2021 03:00,18172
 01.01.2021 04:00,17795
 01.01.2021 05:00,18117
 01.01.2021 06:00,19062
 01.01.2021 07:00,19520
 01.01.2021 08:00,20162
 01.01.2021 09:00,22075
 01.01.2021 10:00,23517
 01.01.2021 11:00,25649
 01.01.2021 12:00,27261
 01.01.2021 13:00,25503
 01.01.2021 14:00,23950
 01.01.2021 15:00,23822
 01.01.2021 16:00,24988
 01.01.2021 17:00,27359
 01.01.2021 18:00,28016
 01.01.2021 19:00,28627
 01.01.2021 20:00,28091
 01.01.2021 21:00,26838
 01.01.2021 22:00,24967
 01.01.2021 23:00,22508
 02.01.2021 00:00,20723
 02.01.2021 01:00,19309
 02.01.2021 02:00,18498
 02.01.2021 03:00,18024
 02.01.2021 04:00,18164
 02.01.2021 05:00,19015
 02.01.2021 06:00,20885
 02.01.2021 07:00,22802
 02.01.2021 08:00,24593
 02.01.2021 09:00,26761
 02.01.2021 10:00,28467
 02.01.2021 11:00,29471
 02.01.2021 12:00,29367
 02.01.2021 13:00,28264
 02.01.2021 14:00,27488
 02.01.2021 15:00,27683
 02.01.2021 16:00,28920
 02.01.2021 17:00,31500
 02.01.2021 18:00,32277
 02.01.2021 19:00,32668
 02.01.2021 20:00,30969
 02.01.2021 21:00,28824
 02.01.2021 22:00,26429
 02.01.2021 23:00,23773
 03.01.2021 00:00,21141
 03.01.2021 01:00,19585
 03.01.2021 02:00,18751
 03.01.2021 03:00,18335
 03.01.2021 04:00,18393
 03.01.2021 05:00,18951
 03.01.2021 06:00,20172
 03.01.2021 07:00,21206
 03.01.2021 08:00,22293
 03.01.2021 09:00,24098
 03.01.2021 10:00,25462
 03.01.2021 11:00,27100
 03.01.2021 12:00,27892
 03.01.2021 13:00,26155
 03.01.2021 14:00,25634
 03.01.2021 15:00,25891
 03.01.2021 16:00,26988
 03.01.2021 17:00,29909
 03.01.2021 18:00,30523
 03.01.2021 19:00,31072
 03.01.2021 20:00,30201
 03.01.2021 21:00,28459
 03.01.2021 22:00,26096
 03.01.2021 23:00,23428
 04.01.2021 00:00,21143
 04.01.2021 01:00,19721
 04.01.2021 02:00,19083
 04.01.2021 03:00,18931
 04.01.2021 04:00,19420
 04.01.2021 05:00,20943
 04.01.2021 06:00,24588
 04.01.2021 07:00,28948
 04.01.2021 08:00,32971
 04.01.2021 09:00,35622
 04.01.2021 10:00,36391
 04.01.2021 11:00,35686
 04.01.2021 12:00,35023
 04.01.2021 13:00,34646
 04.01.2021 14:00,35112
 04.01.2021 15:00,35743
 04.01.2021 16:00,36462
 04.01.2021 17:00,38589
 04.01.2021 18:00,38432
 04.01.2021 19:00,38088
 04.01.2021 20:00,35523
 04.01.2021 21:00,32659
 04.01.2021 22:00,29408
 04.01.2021 23:00,26667
 05.01.2021 00:00,24336
 05.01.2021 01:00,22737
 05.01.2021 02:00,21726
 05.01.2021 03:00,21321
 05.01.2021 04:00,21559
 05.01.2021 05:00,22835
 05.01.2021 06:00,26361
 05.01.2021 07:00,30427
 05.01.2021 08:00,34377
 05.01.2021 09:00,36528
 05.01.2021 10:00,37364
 05.01.2021 11:00,37688
 05.01.2021 12:00,36781
 05.01.2021 13:00,36392
 05.01.2021 14:00,36751
 05.01.2021 15:00,36606
 05.01.2021 16:00,37402
 05.01.2021 17:00,38935
 05.01.2021 18:00,38574
 05.01.2021 19:00,38111
 05.01.2021 20:00,35921
 05.01.2021 21:00,33109
 05.01.2021 22:00,29812
 05.01.2021 23:00,26782
 06.01.2021 00:00,24100
 06.01.2021 01:00,22167
 06.01.2021 02:00,21221
 06.01.2021 03:00,20856
 06.01.2021 04:00,20795
 06.01.2021 05:00,21320
 06.01.2021 06:00,22702
 06.01.2021 07:00,24123
 06.01.2021 08:00,25458
 06.01.2021 09:00,27407
 06.01.2021 10:00,28863
 06.01.2021 11:00,30036
 06.01.2021 12:00,30458
 06.01.2021 13:00,28518
 06.01.2021 14:00,27722
 06.01.2021 15:00,27969
 06.01.2021 16:00,28937
 06.01.2021 17:00,31926
 06.01.2021 18:00,32918
 06.01.2021 19:00,33352
 06.01.2021 20:00,32242
 06.01.2021 21:00,30407
 06.01.2021 22:00,28010
 06.01.2021 23:00,25050
 07.01.2021 00:00,22913
 07.01.2021 01:00,21229
 07.01.2021 02:00,20611
 07.01.2021 03:00,20463
 07.01.2021 04:00,21006
 07.01.2021 05:00,23092
 07.01.2021 06:00,28520
 07.01.2021 07:00,35317
 07.01.2021 08:00,40451
 07.01.2021 09:00,42846
 07.01.2021 10:00,42949
 07.01.2021 11:00,42421
 07.01.2021 12:00,41085
 07.01.2021 13:00,40472
 07.01.2021 14:00,41594
 07.01.2021 15:00,41926
 07.01.2021 16:00,42711
 07.01.2021 17:00,43869
 07.01.2021 18:00,42880
 07.01.2021 19:00,42091
 07.01.2021 20:00,39484
 07.01.2021 21:00,36430
 07.01.2021 22:00,32636
 07.01.2021 23:00,29311
 08.01.2021 00:00,26520
 08.01.2021 01:00,24946
 08.01.2021 02:00,24169
 08.01.2021 03:00,23882
 08.01.2021 04:00,24169
 08.01.2021 05:00,25952
 08.01.2021 06:00,30914
 08.01.2021 07:00,37261
 08.01.2021 08:00,41617
 08.01.2021 09:00,43159
 08.01.2021 10:00,42765
 08.01.2021 11:00,42189
 08.01.2021 12:00,40861
 08.01.2021 13:00,40770
 08.01.2021 14:00,40849
 08.01.2021 15:00,40967
 08.01.2021 16:00,41428
 08.01.2021 17:00,43067
 08.01.2021 18:00,42532
 08.01.2021 19:00,41686
 08.01.2021 20:00,38985
 08.01.2021 21:00,35856
 08.01.2021 22:00,32263
 08.01.2021 23:00,29218
 09.01.2021 00:00,26461
 09.01.2021 01:00,24720
 09.01.2021 02:00,23940
 09.01.2021 03:00,23532
 09.01.2021 04:00,23553
 09.01.2021 05:00,24311
 09.01.2021 06:00,26587
 09.01.2021 07:00,29639
 09.01.2021 08:00,32340
 09.01.2021 09:00,34634
 09.01.2021 10:00,35069
 09.01.2021 11:00,34744
 09.01.2021 12:00,34006
 09.01.2021 13:00,32703
 09.01.2021 14:00,32145
 09.01.2021 15:00,32052
 09.01.2021 16:00,33086
 09.01.2021 17:00,35637
 09.01.2021 18:00,36500
 09.01.2021 19:00,36894
 09.01.2021 20:00,34620
 09.01.2021 21:00,31961
 09.01.2021 22:00,29305
 09.01.2021 23:00,26807
 10.01.2021 00:00,24333
 10.01.2021 01:00,22452
 10.01.2021 02:00,21340
 10.01.2021 03:00,20738
 10.01.2021 04:00,20812
 10.01.2021 05:00,21281
 10.01.2021 06:00,22770
 10.01.2021 07:00,24189
 10.01.2021 08:00,25624
 10.01.2021 09:00,27987
 10.01.2021 10:00,29643
 10.01.2021 11:00,30656
 10.01.2021 12:00,31047
 10.01.2021 13:00,29482
 10.01.2021 14:00,28423
 10.01.2021 15:00,28519
 10.01.2021 16:00,29594
 10.01.2021 17:00,32493
 10.01.2021 18:00,33738
 10.01.2021 19:00,34255
 10.01.2021 20:00,32970
 10.01.2021 21:00,30830
 10.01.2021 22:00,28349
 10.01.2021 23:00,25623
 11.01.2021 00:00,23150
 11.01.2021 01:00,21683
 11.01.2021 02:00,21233
 11.01.2021 03:00,21076
 11.01.2021 04:00,21728
 11.01.2021 05:00,24062
 11.01.2021 06:00,30152
 11.01.2021 07:00,37375
 11.01.2021 08:00,42710
 11.01.2021 09:00,44908
 11.01.2021 10:00,45154
 11.01.2021 11:00,44521
 11.01.2021 12:00,42522
 11.01.2021 13:00,41935
 11.01.2021 14:00,42928
 11.01.2021 15:00,43317
 11.01.2021 16:00,43968
 11.01.2021 17:00,45359
 11.01.2021 18:00,44477
 11.01.2021 19:00,43494
 11.01.2021 20:00,41029
 11.01.2021 21:00,37918
 11.01.2021 22:00,33809
 11.01.2021 23:00,30697
 12.01.2021 00:00,28017
 12.01.2021 01:00,26128
 12.01.2021 02:00,25275
