TimeUTC,ActualTotalLoad
 01.01.2022 00:15,5704
 01.01.2022 00:30,5641
 01.01.2022 00:45,5594
 01.01.2022 01:00,5549
 01.01.2022 01:15,5502
 01.01.2022 01:30,5470
 01.01.2022 01:45,5426
 01.01.2022 02:00,5378
 01.01.2022 02:15,5349
 01.01.2022 02:30,5323
 01.01.2022 02:45,5308
 01.01.2022 03:00,5290
 01.01.2022 03:15,5274
 01.01.2022 03:30,5270
 01.01.2022 03:45,5257
 01.01.2022 04:00,5241
 01.01.2022 04:15,5258
 01.01.2022 04:30,5239
 01.01.2022 04:45,5240
 01.01.2022 05:00,5223
 01.01.2022 05:15,5220
 01.01.2022 05:30,5234
 01.01.2022 05:45,5222
 01.01.2022 06:00,5205
 01.01.2022 06:15,5179
 01.01.2022 06:30,5190
 01.01.2022 06:45,5211
 01.01.2022 07:00,5231
 01.01.2022 07:15,5260
 01.01.2022 07:30,5265
 01.01.2022 07:45,5276
 01.01.2022 08:00,5305
 01.01.2022 08:15,5333
 01.01.2022 08:30,5360
 01.01.2022 08:45,5370
 01.01.2022 09:00,5384
 01.01.2022 09:15,5397
 01.01.2022 09:30,5426
 01.01.2022 09:45,5432
 01.01.2022 10:00,5479
 01.01.2022 10:15,5483
 01.01.2022 10:30,5502
 01.01.2022 10:45,5522
 01.01.2022 11:00,5521
 01.01.2022 11:15,5536
 01.01.2022 11:30,5529
 01.01.2022 11:45,5536
 01.01.2022 12:00,5521
 01.01.2022 12:15,5488
 01.01.2022 12:30,5477
 01.01.2022 12:45,5486
 01.01.2022 13:00,5498
 01.01.2022 13:15,5506
 01.01.2022 13:30,5543
 01.01.2022 13:45,5546
 01.01.2022 14:00,5580
 01.01.2022 14:15,5615
 01.01.2022 14:30,5669
 01.01.2022 14:45,5770
 01.01.2022 15:00,5933
 01.01.2022 15:15,6152
 01.01.2022 15:30,6260
 01.01.2022 15:45,6317
 01.01.2022 16:00,6372
 01.01.2022 16:15,6372
 01.01.2022 16:30,6366
 01.01.2022 16:45,6376
 01.01.2022 17:00,6381
 01.01.2022 17:15,6352
 01.01.2022 17:30,6360
 01.01.2022 17:45,6351
 01.01.2022 18:00,6345
 01.01.2022 18:15,6324
 01.01.2022 18:30,6316
 01.01.2022 18:45,6288
 01.01.2022 19:00,6250
 01.01.2022 19:15,6199
 01.01.2022 19:30,6153
 01.01.2022 19:45,6095
 01.01.2022 20:00,6056
 01.01.2022 20:15,5973
 01.01.2022 20:30,5914
 01.01.2022 20:45,5834
 01.01.2022 21:00,5763
 01.01.2022 21:15,5674
 01.01.2022 21:30,5627
 01.01.2022 21:45,5556
 01.01.2022 22:00,5492
 01.01.2022 22:15,5427
 01.01.2022 22:30,5376
 01.01.2022 22:45,5302
 01.01.2022 23:00,5251
 01.01.2022 23:15,5202
 01.01.2022 23:30,5168
 01.01.2022 23:45,5136
 02.01.2022 00:00,5074
 02.01.2022 00:15,5055
 02.01.2022 00:30,5047
 02.01.2022 00:45,5023
 02.01.2022 01:00,4991
 02.01.2022 01:15,4991
 02.01.2022 01:30,4971
 02.01.2022 01:45,4951
 02.01.2022 02:00,4959
 02.01.2022 02:15,4967
 02.01.2022 02:30,4978
 02.01.2022 02:45,4979
 02.01.2022 03:00,4990
 02.01.2022 03:15,5014
 02.01.2022 03:30,5031
 02.01.2022 03:45,5062
 02.01.2022 04:00,5080
 02.01.2022 04:15,5133
 02.01.2022 04:30,5164
 02.01.2022 04:45,5224
 02.01.2022 05:00,5238
 02.01.2022 05:15,5282
 02.01.2022 05:30,5354
 02.01.2022 05:45,5378
 02.01.2022 06:00,5396
 02.01.2022 06:15,5451
 02.01.2022 06:30,5518
 02.01.2022 06:45,5583
 02.01.2022 07:00,5631
 02.01.2022 07:15,5675
 02.01.2022 07:30,5695
 02.01.2022 07:45,5718
 02.01.2022 08:00,5732
 02.01.2022 08:15,5727
 02.01.2022 08:30,5725
 02.01.2022 08:45,5738
 02.01.2022 09:00,5751
 02.01.2022 09:15,5751
 02.01.2022 09:30,5754
 02.01.2022 09:45,5753
 02.01.2022 10:00,5752
 02.01.2022 10:15,5768
 02.01.2022 10:30,5781
 02.01.2022 10:45,5791
 02.01.2022 11:00,5800
 02.01.2022 11:15,5785
 02.01.2022 11:30,5795
 02.01.2022 11:45,5787
 02.01.2022 12:00,5799
 02.01.2022 12:15,5766
 02.01.2022 12:30,5748
 02.01.2022 12:45,5766
 02.01.2022 13:00,5787
 02.01.2022 13:15,5816
 02.01.2022 13:30,5842
 02.01.2022 13:45,5872
 02.01.2022 14:00,5921
 02.01.2022 14:15,5954
 02.01.2022 14:30,5996
 02.01.2022 14:45,6069
 02.01.2022 15:00,6231
 02.01.2022 15:15,6454
 02.01.2022 15:30,6625
 02.01.2022 15:45,6726
 02.01.2022 16:00,6772
 02.01.2022 16:15,6795
 02.01.2022 16:30,6802
 02.01.2022 16:45,6805
 02.01.2022 17:00,6772
 02.01.2022 17:15,6777
 02.01.2022 17:30,6788
 02.01.2022 17:45,6792
 02.01.2022 18:00,6781
 02.01.2022 18:15,6759
 02.01.2022 18:30,6723
 02.01.2022 18:45,6675
 02.01.2022 19:00,6630
 02.01.2022 19:15,6575
 02.01.2022 19:30,6518
 02.01.2022 19:45,6447
 02.01.2022 20:00,6375
 02.01.2022 20:15,6244
 02.01.2022 20:30,6151
 02.01.2022 20:45,6062
 02.01.2022 21:00,5987
 02.01.2022 21:15,5914
 02.01.2022 21:30,5814
 02.01.2022 21:45,5732
 02.01.2022 22:00,5667
 02.01.2022 22:15,5595
 02.01.2022 22:30,5540
