TimeUTC,ActualTotalLoad
 01.01.2022 01:00,15331
 01.01.2022 02:00,15331
 01.01.2022 03:00,15270
 01.01.2022 04:00,15150
 01.01.2022 05:00,15387
 01.01.2022 06:00,15737
 01.01.2022 07:00,16054
 01.01.2022 08:00,16455
 01.01.2022 09:00,16943
 01.01.2022 10:00,17476
 01.01.2022 11:00,17657
 01.01.2022 12:00,17521
 01.01.2022 13:00,17542
 01.01.2022 14:00,17783
 01.01.2022 15:00,18417
 01.01.2022 16:00,18620
 01.01.2022 17:00,18778
 01.01.2022 18:00,18621
 01.01.2022 19:00,17942
 01.01.2022 20:00,17481
 01.01.2022 21:00,17048
 01.01.2022 22:00,16461
 01.01.2022 23:00,16048
 02.01.2022 00:00,15924
 02.01.2022 01:00,15328
 02.01.2022 02:00,15037
 02.01.2022 03:00,14770
 02.01.2022 04:00,14706
 02.01.2022 05:00,14752
 02.01.2022 06:00,15202
 02.01.2022 07:00,15916
 02.01.2022 08:00,16545
 02.01.2022 09:00,16960
 02.01.2022 10:00,17299
 02.01.2022 11:00,17428
 02.01.2022 12:00,17553
 02.01.2022 13:00,17792
 02.01.2022 14:00,17912
 02.01.2022 15:00,18077
 02.01.2022 16:00,18265
 02.01.2022 17:00,18541
 02.01.2022 18:00,18424
 02.01.2022 19:00,18010
 02.01.2022 20:00,17305
 02.01.2022 21:00,16546
 02.01.2022 22:00,16269
 02.01.2022 23:00,15506
 03.01.2022 00:00,15319
 03.01.2022 01:00,15049
 03.01.2022 02:00,14808
 03.01.2022 03:00,14886
 03.01.2022 04:00,15344
 03.01.2022 05:00,15734
 03.01.2022 06:00,17213
 03.01.2022 07:00,18764
 03.01.2022 08:00,19396
 03.01.2022 09:00,19451
 03.01.2022 10:00,19620
 03.01.2022 11:00,19916
 03.01.2022 12:00,20005
 03.01.2022 13:00,20204
 03.01.2022 14:00,20225
 03.01.2022 15:00,20687
 03.01.2022 16:00,20855
 03.01.2022 17:00,21041
 03.01.2022 18:00,20625
 03.01.2022 19:00,20368
 03.01.2022 20:00,19675
 03.01.2022 21:00,18948
 03.01.2022 22:00,18102
 03.01.2022 23:00,17269
 04.01.2022 00:00,17009
 04.01.2022 01:00,16824
 04.01.2022 02:00,16796
 04.01.2022 03:00,16723
 04.01.2022 04:00,17084
 04.01.2022 05:00,17985
 04.01.2022 06:00,19017
 04.01.2022 07:00,20133
 04.01.2022 08:00,20800
 04.01.2022 09:00,20732
 04.01.2022 10:00,20622
 04.01.2022 11:00,20849
 04.01.2022 12:00,20973
 04.01.2022 13:00,20749
 04.01.2022 14:00,20770
 04.01.2022 15:00,21558
 04.01.2022 16:00,21965
 04.01.2022 17:00,22098
 04.01.2022 18:00,21647
 04.01.2022 19:00,21163
 04.01.2022 20:00,20499
 04.01.2022 21:00,19641
 04.01.2022 22:00,19007
 04.01.2022 23:00,18021
 05.01.2022 00:00,17745
 05.01.2022 01:00,17270
 05.01.2022 02:00,17050
 05.01.2022 03:00,17103
 05.01.2022 04:00,17262
 05.01.2022 05:00,17810
 05.01.2022 06:00,19235
 05.01.2022 07:00,20644
 05.01.2022 08:00,21248
 05.01.2022 09:00,21376
 05.01.2022 10:00,21549
 05.01.2022 11:00,21489
 05.01.2022 12:00,21319
 05.01.2022 13:00,21436
 05.01.2022 14:00,21327
 05.01.2022 15:00,22057
 05.01.2022 16:00,22197
 05.01.2022 17:00,22071
 05.01.2022 18:00,21801
 05.01.2022 19:00,21434
 05.01.2022 20:00,20792
 05.01.2022 21:00,19817
 05.01.2022 22:00,19120
 05.01.2022 23:00,18579
 06.01.2022 00:00,18215
 06.01.2022 01:00,17680
 06.01.2022 02:00,17514
 06.01.2022 03:00,17502
 06.01.2022 04:00,17795
 06.01.2022 05:00,18109
 06.01.2022 06:00,18714
 06.01.2022 07:00,19147
 06.01.2022 08:00,20168
 06.01.2022 09:00,20826
 06.01.2022 10:00,21258
 06.01.2022 11:00,21169
 06.01.2022 12:00,21064
 06.01.2022 13:00,20625
 06.01.2022 14:00,20709
 06.01.2022 15:00,21371
 06.01.2022 16:00,21680
 06.01.2022 17:00,21954
 06.01.2022 18:00,21591
 06.01.2022 19:00,21068
 06.01.2022 20:00,20458
 06.01.2022 21:00,20482
 06.01.2022 22:00,20455
 06.01.2022 23:00,19167
 07.01.2022 00:00,18524
 07.01.2022 01:00,18521
 07.01.2022 02:00,18153
 07.01.2022 03:00,18216
 07.01.2022 04:00,18365
 07.01.2022 05:00,18495
 07.01.2022 06:00,20144
 07.01.2022 07:00,21352
 07.01.2022 08:00,21863
 07.01.2022 09:00,21967
 07.01.2022 10:00,22315
 07.01.2022 11:00,22456
 07.01.2022 12:00,22363
 07.01.2022 13:00,22296
 07.01.2022 14:00,22321
 07.01.2022 15:00,22437
 07.01.2022 16:00,22405
 07.01.2022 17:00,22335
 07.01.2022 18:00,21736
 07.01.2022 19:00,21128
 07.01.2022 20:00,20408
 07.01.2022 21:00,19519
 07.01.2022 22:00,18730
 07.01.2022 23:00,18221
 08.01.2022 00:00,17573
 08.01.2022 01:00,17102
 08.01.2022 02:00,16679
 08.01.2022 03:00,16817
 08.01.2022 04:00,16970
 08.01.2022 05:00,17050
 08.01.2022 06:00,17250
