ID,Type,Trend,Seasonality,Horizon,sMAPE,Model,sMAPE_ETS,sMAPE_Arima,sMAPE_cv,Model_cv,sMAPE_naive,sMAPE_snaive,sMAPE_drift
1,MICRO,0,Non-seasonal,1,19.69923727,Arima(transform),20.83842244,19.69923727,20.83478261,Arima,10.3286385,15.52511416,9.451938496
2,MICRO,0,Non-seasonal,2,11.11264752,Arima(transform),12.25760515,11.11264752,12.25394596,Arima,8.612595111,10.20158147,9.055651043
3,MICRO,0,Non-seasonal,3,10.49027073,Arima(transform),10.87062805,10.49027073,10.86941317,Arima,11.94955733,9.632457143,13.12279001
4,MICRO,0,Non-seasonal,4,10.44600069,Arima(transform),11.01816773,10.44600069,11.01633964,Arima,9.186383247,10.08148571,10.50851573
5,MICRO,0,Non-seasonal,5,8.862012106,Arima(transform),9.549891749,8.862012106,9.547693578,Arima,8.728416943,10.26991298,10.6789394
6,MICRO,0,Non-seasonal,6,8.92592961,Arima(transform),9.307688766,8.92592961,9.306469246,Arima,10.37759442,11.08150119,12.89159571
7,MICRO,0,Non-seasonal,7,7.658929789,Arima(transform),8.150579827,7.658929789,8.149008862,Arima,10.23246695,9.615047667,13.28666099
8,MICRO,0,Non-seasonal,8,10.84718559,Arima(transform),11.13732731,10.84718559,11.13640087,Arima,14.23509872,12.27222711,17.76719569
9,MICRO,0,Non-seasonal,9,13.20043639,Arima(transform),13.33361597,13.20043639,13.33319157,Arima,17.22394906,14.29847683,21.22863238
10,MICRO,0,Non-seasonal,10,14.55085771,Arima(transform),14.55758472,14.55085771,14.55756472,Arima,19.09129774,13.11402792,23.57385425
11,MICRO,0,Non-seasonal,11,13.93311205,Arima(transform),13.83472541,13.93311205,13.83504139,Arima,18.91416678,12.19120383,23.89776567
12,MICRO,0,Non-seasonal,12,13.3369823,Arima(transform),13.34258209,13.3369823,13.34256558,Arima,17.55825053,11.3955345,23.04919544
13,MICRO,0,Non-seasonal,13,14.61584501,Arima(transform),14.70749066,14.61584501,14.70719919,Arima,17.79912781,12.50644112,21.94409233
14,MICRO,0,Non-seasonal,14,15.30254329,Arima(transform),15.30657885,15.30254329,15.30656754,Arima,18.91756504,13.17799012,23.66268483
15,MICRO,0,Non-seasonal,15,14.79249273,Arima(transform),14.87286322,14.79249273,14.87260782,Arima,17.77438814,12.85968154,23.13896648
16,MICRO,0,Non-seasonal,16,14.62777574,Arima(transform),14.63142646,14.62777574,14.63141631,Arima,18.0081104,14.15679178,23.95990669
17,MICRO,0,Non-seasonal,17,14.35448433,Arima(transform),14.29036383,14.35448433,14.29057031,Arima,18.08732971,13.41118529,24.61824893
18,MICRO,0,Non-seasonal,18,14.68932511,Arima(transform),14.5654495,14.68932511,14.56584705,Arima,18.73013332,14.12263213,25.81550703
19,MICRO,0,Non-seasonal,1,2.233971926,ETS,2.233971926,5.374592577,5.374592577,Arima,6.034482759,0.892857143,5.984306286
20,MICRO,0,Non-seasonal,2,4.052501059,ETS,4.052501059,4.052659138,4.052659138,Arima,4.052438067,6.76451136,4.077578613
21,MICRO,0,Non-seasonal,3,5.902763792,ETS,5.902763792,6.946855275,6.946855275,Arima,7.165911092,9.112495324,7.132647202
22,MICRO,0,Non-seasonal,4,5.481863148,ETS,5.481863148,5.47963015,5.47963015,Arima,5.478817453,10.52564666,5.504128886
23,MICRO,0,Non-seasonal,5,6.361744484,ETS,6.361744484,5.73269226,5.73269226,Arima,5.600092502,11.1994647,5.670565497
24,MICRO,0,Non-seasonal,6,7.967851159,ETS,7.967851159,7.963231724,7.963231724,Arima,7.961762908,11.40625248,7.970689386
25,MICRO,0,Non-seasonal,7,8.408477043,ETS,8.408477043,7.956704532,7.956704532,Arima,7.861234567,10.63564842,7.919113977
26,MICRO,0,Non-seasonal,8,7.884812565,ETS,7.884812565,7.096860812,7.096860812,Arima,6.930772313,9.563924324,7.031726613
27,MICRO,0,Non-seasonal,9,10.12004662,ETS,10.12004662,9.076670711,9.076670711,Arima,8.856764932,9.610464765,8.996070651
28,MICRO,0,Non-seasonal,10,10.88663142,ETS,10.88663142,9.635485253,9.635485253,Arima,9.371866649,8.721882057,9.54732162
29,MICRO,0,Non-seasonal,11,10.46781503,ETS,10.46781503,9.044953501,9.044953501,Arima,8.745273212,8.865386341,8.955116508
30,MICRO,0,Non-seasonal,12,10.08474963,ETS,10.08474963,8.518767851,8.518767851,Arima,8.189033225,8.299136927,8.431743528
31,MICRO,0,Non-seasonal,13,9.72386819,ETS,9.72386819,8.519727312,8.519727312,Arima,8.266059284,7.835170525,8.439824763
32,MICRO,0,Non-seasonal,14,9.621964869,ETS,9.621964869,8.279676787,8.279676787,Arima,7.996982014,8.350784305,8.208692476
33,MICRO,0,Non-seasonal,15,9.371902557,ETS,9.371902557,7.909746714,7.909746714,Arima,7.601876105,7.904258188,7.849864155
34,MICRO,0,Non-seasonal,16,9.567856444,ETS,9.567856444,8.392473277,8.392473277,Arima,8.144858396,7.532193271,8.327253463
35,MICRO,0,Non-seasonal,17,9.1043335,ETS,9.1043335,7.984315436,7.984315436,Arima,7.79011172,7.425257533,7.91135661
36,MICRO,0,Non-seasonal,18,8.624754074,ETS,8.624754074,7.741483109,7.741483109,Arima,7.59474464,7.185199495,7.658834718
37,MICRO,1,Non-seasonal,1,17.73679046,Arima(transform),12.12894484,17.870591,17.73679046,Arima(transform),10.84337349,10.73825503,10.92879723
38,MICRO,1,Non-seasonal,2,11.72318109,Arima(transform),9.129916791,11.85721673,11.72318109,Arima(transform),7.611467769,6.73070089,7.739777845
39,MICRO,1,Non-seasonal,3,11.36578116,Arima(transform),10.01582263,11.48544883,11.36578116,Arima(transform),8.26792462,9.525893617,8.438867195
40,MICRO,1,Non-seasonal,4,15.89160204,Arima(transform),14.80111495,16.00787293,15.89160204,Arima(transform),12.83524767,10.77763821,13.04749665
41,MICRO,1,Non-seasonal,5,15.10927547,Arima(transform),14.38070432,15.22575418,15.10927547,Arima(transform),12.1843658,11.53756246,12.43949097
42,MICRO,1,Non-seasonal,6,13.70347361,Arima(transform),13.36005722,13.81877872,13.70347361,Arima(transform),10.93336526,11.07296872,11.23141211
43,MICRO,1,Non-seasonal,7,14.75376553,Arima(transform),14.70019286,14.86800163,14.75376553,Arima(transform),12.05002737,12.21008194,12.39017916
